2026-09-12 15:38:06, SISTEMA, CALCULO_DIFERENCIA_PESO, DIF: -3.8
2026-09-12 12:43:41, [admin@cardio.com](mailto:admin@cardio.com), REPORTE_PDF_GENERADO, reporte_1.pdf
2026-09-12 15:52:26, 2, CALCULO_DIFERENCIA_PESO, DIF: -4.0
2026-09-12 16:05:05, CLIENTE_6, CREACION_RUTINA, Se creó nueva rutina
2026-09-12 15:15:42, CLIENTE_7, SUGERENCIA_RUTINA, SIN_RUTINAS
2026-09-12 21:12:32, CLIENTE_7, GENERAR_PROGRESO, Se generó reporte de progreso
2026-09-12 17:49:10, [admin@cardio.com](mailto:admin@cardio.com), GENERAR_PROGRESO, Se generó reporte de progreso
2026-09-12 13:21:14, RUTINA_1, REGISTRO_CLIENTE, Nuevo cliente registrado
2026-09-12 09:51:36, CLIENTE_4, LOGIN_EXITOSO, Inicio de sesión exitoso
2026-09-12 16:45:04, RUTINA_3, REPORTE_PDF_GENERADO, reporte_9.pdf
2026-09-12 11:35:28, 448, CREACION_RUTINA, Se creó nueva rutina
2026-09-12 18:31:52, [admin@cardio.com](mailto:admin@cardio.com), CREACION_RUTINA, Se creó nueva rutina
2026-09-12 15:27:17, RUTINA_2, REGISTRO_ADMINISTRADOR, Nuevo administrador registrado
2026-09-12 19:38:04, CLIENTE_7, REPORTE_PDF_GENERADO, reporte_13.pdf
2026-09-12 12:53:12, CLIENTE_4, REGISTRO_CLIENTE, Nuevo cliente registrado
2026-09-12 11:53:42, RUTINA_3, SUGERENCIA_RUTINA, DEFAULT
2026-09-12 08:06:15, 1, REPORTE_PDF_GENERADO, reporte_16.pdf
2026-09-12 09:39:08, RUTINA_2, LOGIN_EXITOSO, Inicio de sesión exitoso
2026-09-12 13:10:13, CLIENTE_2, LOGIN_EXITOSO, Inicio de sesión exitoso
2026-09-12 17:30:19, 448, CREACION_RUTINA, Se creó nueva rutina
2026-09-12 18:28:29, 1, REPORTE_PDF_GENERADO, reporte_20.pdf
2026-09-12 12:37:11, CLIENTE_2, REGISTRO_CLIENTE, Nuevo cliente registrado
2026-09-12 16:23:26, RUTINA_10, REGISTRO_ADMINISTRADOR, Nuevo administrador registrado
2026-09-12 18:52:46, RUTINA_3, CONSULTA_PROGRESO, Cliente consultó su progreso
2026-09-12 13:41:56, 448, CREACION_EJERCICIO, Se creó nuevo ejercicio
2026-09-12 09:39:11, CLIENTE_7, LOGIN_EXITOSO, Inicio de sesión exitoso
2026-09-12 09:13:13, SISTEMA, REGISTRO_CLIENTE, Nuevo cliente registrado
2026-09-12 10:55:36, CLIENTE_7, REGISTRO_ADMINISTRADOR, Nuevo administrador registrado
2026-09-12 12:37:20, CLIENTE_2, GENERAR_PROGRESO, Se generó reporte de progreso
2026-09-12 10:05:46, SISTEMA, CONSULTA_PROGRESO, Cliente consultó su progreso
2026-09-13 14:17:42, RUTINA_1, REGISTRO_CLIENTE, Nuevo cliente registrado
2026-09-13 16:24:05, CLIENTE_7, REGISTRO_CLIENTE, Nuevo cliente registrado
2026-09-13 18:30:53, 3, CREACION_RUTINA, Se creó nueva rutina
2026-09-13 09:38:35, RUTINA_10, GENERAR_PROGRESO, Se generó reporte de progreso
2026-09-13 14:07:11, 2, REGISTRO_ADMINISTRADOR, Nuevo administrador registrado
2026-09-13 12:17:31, 1, CREACION_RUTINA, Se creó nueva rutina
